,BLK_away,BLK_home,FBPS_away,FBPS_home,PF_away,PF_home,PITP_away,PITP_home,PTS_OFF_TO_away,PTS_OFF_TO_home,SEC_PTS_away,SEC_PTS_home,game_ID
130,1,6,2,4,20,19,26,50,9,13,6,31,20171027BKNvsNYK
131,9,7,15,7,29,21,46,52,18,15,15,24,20171027OKCvsMIN
132,6,13,17,22,21,20,38,52,18,17,18,8,20171027WASvsGSW
133,4,6,12,22,24,22,52,56,22,15,11,10,20171027TORvsLAL
134,5,4,9,7,23,15,20,46,13,8,4,9,20171026ATLvsCHI
135,3,6,6,4,22,23,28,32,10,14,23,9,20171026DALvsMEM
136,4,3,13,15,14,20,28,38,18,11,5,0,20171026BOSvsMIL
137,5,4,4,1,19,26,44,30,14,20,17,16,20171026LACvsPOR
138,3,5,8,11,24,17,52,44,7,16,14,10,20171026NOPvsSAC
139,1,5,7,11,23,16,52,30,12,16,22,10,20171025DENvsCHA
140,4,3,0,24,19,22,38,52,16,18,11,19,20171025MINvsDET
141,13,7,9,10,13,19,40,48,14,23,10,17,20171025HOUvsPHI
142,7,3,16,14,17,22,38,32,19,22,11,11,20171025CLEvsBKN
143,3,2,1,9,20,25,44,44,9,19,16,3,20171025SASvsMIA
144,2,8,7,14,23,27,28,54,24,12,14,14,20171025INDvsOKC
145,2,4,20,7,22,20,28,36,10,22,4,5,20171025MEMvsDAL
146,10,5,14,8,19,25,32,46,18,29,8,17,20171025UTAvsPHX
147,6,7,15,32,16,15,54,48,17,17,15,6,20171025TORvsGSW
148,5,5,16,17,19,26,48,54,29,16,2,12,20171025WASvsLAL
149,3,3,0,8,20,14,36,38,16,23,10,13,20171024CHIvsCLE
150,4,5,16,11,27,23,52,58,16,16,18,9,20171024BKNvsORL
151,2,7,4,12,17,24,58,40,13,19,15,6,20171024NYKvsBOS
152,2,4,18,6,21,14,54,54,20,18,11,11,20171024INDvsMIN
153,7,7,2,4,26,22,34,38,13,14,8,24,20171024NOPvsPOR
154,7,4,16,14,23,16,34,52,17,26,6,11,20171024UTAvsLAC
155,0,2,0,2,24,21,42,46,8,20,10,10,20171023PHIvsDET
156,1,6,7,14,17,19,44,40,20,17,12,11,20171023ATLvsMIA
157,2,2,0,4,21,31,40,44,21,6,4,11,20171023MEMvsHOU
158,5,4,4,7,21,27,32,56,15,12,5,2,20171023CHAvsMIL
159,8,0,34,8,23,20,44,44,14,18,8,20,20171023GSWvsDAL
160,4,12,14,14,30,22,42,58,26,14,0,21,20171023TORvsSAS
161,3,2,18,21,24,22,38,52,28,9,11,16,20171023WASvsDEN
162,2,5,17,11,25,25,48,50,27,13,14,10,20171023SACvsPHX
163,2,8,7,22,25,27,36,46,17,24,17,10,20171022ATLvsBKN
164,1,6,6,20,17,22,52,60,13,23,19,14,20171022MINvsOKC
165,5,6,18,20,20,24,68,60,23,20,10,8,20171022NOPvsLAL
166,4,10,5,12,26,29,32,42,12,23,13,13,20171021PHIvsTOR
167,6,7,4,2,28,14,34,38,12,12,15,22,20171021ORLvsCLE
168,4,11,5,15,18,19,56,56,11,16,22,12,20171021INDvsMIA
169,2,2,4,3,25,21,54,46,17,15,21,18,20171021DETvsNYK
170,3,5,6,5,14,15,52,32,23,4,17,8,20171021SASvsCHI
171,0,4,0,4,19,24,30,50,13,19,7,16,20171021DALvsHOU
172,7,4,32,21,28,25,36,48,16,24,6,7,20171021GSWvsMEM
173,6,8,2,8,22,23,26,54,12,22,12,10,20171021PORvsMIL
174,3,2,12,16,21,19,34,52,13,19,10,19,20171021SACvsDEN
175,4,4,8,7,16,21,20,40,24,16,10,8,20171021OKCvsUTA
176,3,2,5,19,27,32,36,66,9,32,9,14,20171021PHXvsLAC
177,4,4,2,4,29,18,40,48,19,14,7,24,20171020ATLvsCHA
178,6,4,9,18,26,17,48,40,23,10,12,8,20171020PORvsIND
179,5,4,0,4,24,30,28,40,12,16,22,13,20171020BOSvsPHI
